token;reference
Wie;O
kann;O
man;O
helfen;O
und;O
wie;O
kommt;O
man;O
an;O
die;O
orte;O
die;O
die;O
hilfe;O
brauchen;O
Ist;O
noch;O
ein;O
Durchkommen;O
nach;O
Kleckewitz;LOC
sprich;O
Raguhn;LOC
Richtung;O
Altjeßnitz;LOC
raus;O
Da;O
droht;O
ein;O
Damm;O
zu;O
brechen;O
wurde;O
NICHT;O
saniert;O
nach;O
meine;O
Eltern;O
wohnen;O
dort;O
Würde;O
gern;O
helfen;O
aber;O
wie;O
komme;O
ich;O
da;O
noch;O
hin;O
Bleibt;O
nur;O
parken;O
in;O
Bahnhofsnähe;O
und;O
laufen;O
Will;O
niemand;O
helfen;O
Die;O
Leute;O
brauchen;O
jetzt;O
Hilfe;O
Nicht;O
wenn;O
alles;O
vorbei;O
ist;O
Jetzt;O
heißt;O
es;O
nicht;O
mehr;O
meckern;O
sondern;O
mal;O
mit;O
anfassen;O
Jeder;O
einzelne;O
von;O
euch;O
kann;O
helfen;O
sei;O
es;O
durch;O
Sachspenden;O
Transport;O
oder;O
mit;O
anpacken;O
In;O
dieser;O
Gruppe;O
ist;O
jeder;O
Willkommen;O
der;O
mich;O
unterstützen;O
möchte;O
und;O
den;O
Leuten;O
in;O
den;O
betroffenen;O
Regionen;O
eine;O
kleine;O
Freude;O
bereiten;O
möchte;O
Unter;O
und;O
können;O
alle;O
Informationen;O
erfragt;O
und;O
auch;O
Sandsäcke;O
geordert;O
werden;O
Ebenso;O
können;O
sich;O
Helfer;O
registrieren;O
lassen;O
auf;O
die;O
bei;O
Bedarf;O
zurückgegriffen;O
werden;O
kann;O
Hallo;O
ich;O
befinde;O
mich;O
momentan;O
in;O
der;O
Schweiz;LOC
auf;O
Montage;O
und;O
muss;O
mit;O
Bedauern;O
ansehen;O
wie;O
Thüringen;LOC
absäuft;O
ich;O
möchte;O
Euch;O
anbieten;O
in;O
irgendeiner;O
Form;O
zu;O
helfen;O
ab;O
Dienstag;O
bin;O
ich;O
wieder;O
in;O
Sonneberg;LOC
und;O
würde;O
mit;O
ein;O
paar;O
Helfern;O
meiner;O
Firma;O
Euch;O
unterstützen;O
Aufräumungsarbeiten;O
Trocknungen;O
alles;O
was;O
anfallen;O
würde;O
ca;O
Woche;O
könnten;O
wir;O
helfen;O
Wer;O
was;O
weiss;O
oder;O
Hilfe;O
benötigt;O
bitte;O
meldet;O
Euch;O
Gruss;O
Illig;O
Tobias;O
Ihr;O
lieben;O
und;O
fleissigen;O
Helfer;O
es;O
ist;O
zur;O
Zeit;O
sehr;O
schwer;O
etwas;O
richtig;O
zu;O
koordinieren;O
was;O
die;O
Hilfe;O
angeht;O
da;O
man;O
nirgends;O
hinkommt;O
in;O
die;O
verschiedenen;O
Stadtteile;O
Geht;O
einfach;O
los;O
und;O
schaut;O
in;O
eurer;O
Nähe;O
wer;O
Hilfe;O
braucht;O
z;O
B;O
einfach;O
mal;O
essen;O
Getränke;O
zusammenpacken;O
und;O
los;O
gehen;O
die;O
Hilfe;O
wird;O
meistens;O
nicht;O
weit;O
von;O
der;O
eigenen;O
Haustür;O
gebraucht;O
Liebe;O
Helfer;O
habe;O
gerade;O
Rücksprache;O
mit;O
dem;O
BRK;O
Passau;LOC
gehabt;O
Kleidung;O
und;O
Sachspenden;O
bitte;O
erstmal;O
bei;O
Euch;O
lassen;O
In;O
erster;O
Linie;O
geht;O
es;O
momentan;O
um;O
die;O
Evakuierung;O
Unterkünfte;O
bitte;O
mit;O
Telefonnummer;O
per;O
PN;O
uns;O
zusenden;O
Freiwillige;O
Helfer;O
bitte;O
meldet;O
euch;O
bei;O
den;O
bekannten;O
Stellen;O
melden;O
wie;O
FFW;O
BRK;O
THW;O
usw;O
Geldspenden;O
bitte;O
an;O
folgendes;O
Konto;O
Rotes;O
Kreuz;O
Konto;O
BLZ;O
Sparkasse;O
Passau;LOC
Verwendungszweck;O
Hochwasser;O
Für;O
die;O
Stadt;O
Eilenburg;LOC
besteht;O
akute;O
Gefahr;O
für;O
die;O
Überflutung;O
der;O
Stadt;O
Das;O
teilte;O
die;O
Stadtverwaltung;O
am;O
Montag;O
um;O
Uhr;O
mit;O
Helft;O
alle;O
wo;O
ihr;O
könnt;O
Hallo;O
Macht;O
es;O
Sinn;O
nach;O
Eilenburg;LOC
zu;O
kommen;O
um;O
zu;O
helfen;O
würde;O
in;O
h;O
aus;O
Bayern;LOC
da;O
sein;O
habe;O
einen;O
Kleinbus;O
Die;O
Mühlinsel;LOC
in;O
Eilenburg;LOC
Helft;O
alle;O
zusammen;O
DRINGENDER;O
AUFRUF;O
DER;O
FEUERWEHREN;O
Freiwillige;O
Helfer;O
sollen;O
nicht;O
die;O
anrufen;O
Das;O
blockiere;O
den;O
Notruf;O
für;O
Notfälle;O
Sucht;O
man;O
irgendwo;O
noch;O
Helfer;O
nicht;O
unbedingt;O
in;O
Eilenburg;LOC
am;O
im;O
Umland;O
Hilfe;O
Der;O
Ortsteil;O
Bennewitz;LOC
kann;O
noch;O
aktive;O
Hilfe;O
gebrauchen;O
der;O
Parkplatz;O
zum;O
Dreibrücken;O
Bad;O
in;O
Wurzen;LOC
steht;O
auch;O
unter;O
Wasser;O
Mehr;O
Informationen;O
auf;O
Hilfe;O
Wir;O
gehen;O
unter;O
Könnten;O
jede;O
helfende;O
Hand;O
gebrauchen;O
um;O
wenigstens;O
den;O
grössten;O
Teil;O
unsere;O
Möbel;O
ins;O
OG;O
zu;O
bekommen;O
Bitte;O
wer;O
Zeit;O
hat;O
soll;O
nach;O
Holleben;LOC
Benkendorf;LOC
kommen;O
Telefon;O
Hilfe;O
Die;O
Stadt;O
Bad;LOC
Dürrenberg;LOC
sucht;O
freiwillige;O
Helfer;O
Telefon;O
WICHTIG;O
RT;O
StadtLeipzig;LOC
Freiwillige;O
Helfer;O
bitte;O
nicht;O
bei;O
Bürgertelefon;O
anrufen;O
Medien-Falschmeldung;O
Infos;O
für;O
Helfer;O
kommen;O
Nachmittag;O
Hochwasser;O
Leipzig;LOC
Hilfe;O
Auch;O
in;O
Raguhn;LOC
werden;O
weiterhin;O
Helfer;O
zur;O
Deichstabilisierung;O
gesucht;O
Treffpunkt;O
Bahnhof;O
an;O
der;O
Brückenstraße;LOC
in;O
Leipzig;LOC
werden;O
DRINGEND;O
Helfer;O
gesucht;O
Hilfe;O
Transporter;O
für;O
den;O
Abtransport;O
von;O
Sandsäcken;O
auf;O
der;O
Halbinsel;LOC
Poch;LOC
werden;O
dringend;O
Transportfahrzeuge;O
gesucht;O
Telefon;O
Hilfe;O
In;O
Magdeburg;LOC
können;O
sich;O
freiwillige;O
Helfer;O
ab;O
morgen;O
melden;O
Telefon;O
Hilfe;O
In;O
Markkleeberg;LOC
im;O
Keesschen;LOC
Park;LOC
werden;O
dringend;O
starke;O
Hände;O
gesucht;O
zum;O
Sandsäcke;O
füllen;O
Hilfe;O
Die;O
Stadtverwaltung;O
Halle;O
bittet;O
um;O
Helfer;O
unter;O
anderem;O
im;O
Bereich;O
des;O
Gimritzer;LOC
Dammes;LOC
Freiwillige;O
können;O
sich;O
umgehend;O
an;O
der;O
mobilen;O
Sandabfüllstation;O
am;O
Hubertusplatz;LOC
nahe;O
des;O
Waldkaters;LOC
melden;O
Hilfe;O
Das;O
Rathaus;O
bittet;O
alle;O
Leipziger;O
beim;O
Befüllen;O
von;O
Sandsäcken;O
zu;O
helfen;O
Hilfe;O
wird;O
dringend;O
benötigt;O
im;O
Kieswerk;LOC
Hirschfeld;LOC
Am;LOC
Ochsenwinkel;LOC
Leipzig-Hirschfeld;LOC
sowie;O
in;O
der;O
Flussmeisterei;O
Straße;LOC
Am;LOC
Teilungswehr;LOC
in;O
Leipzig-Großzschoc;LOC
Hilfe;O
Transporter;O
für;O
Beförderung;O
von;O
Sandsäcken;O
werden;O
dringend;O
benötigt;O
Bitte;O
wenden;O
an;O
Deutsche;O
Asphalt;O
GmbH;O
AMA;O
Hirschfeld;LOC
Am;LOC
Ochsenwinkel;LOC
Leipzig;LOC
Tel;O
Bin;O
auf;O
dem;O
Weg;O
zum;O
Teilungswehr;LOC
Ist;O
da;O
noch;O
Bedarf;O
oder;O
ust;O
an;O
anderen;O
Stellen;O
in;O
Leipzig;LOC
mehr;O
zu;O
tun;O
Bin;O
leider;O
ohne;O
KFZ;O
aber;O
voller;O
Tatendrang;O
Wir;O
Hilfe;O
jetzt;O
gebraucht;O
zum;O
Sandsäcke;O
befüllen;O
Hilfe;O
Freiwillige;O
werden;O
jetzt;O
am;O
Kieswerk;LOC
Kleinpösna;LOC
Kiesgrubenstraße;LOC
gebraucht;O
Wo;O
gibt;O
es;O
eine;O
Anlaufstelle;O
für;O
freiwillige;O
helfer;O
in;O
bernburg;O
Hilfe;O
Freiwillige;O
Helfer;O
für;O
Magdeburg;LOC
können;O
sich;O
ab;O
Uhr;O
beim;O
Bürgertelefon;O
melden;O
Telefonnumer;O
Eilmeldung;O
Die;O
Lage;O
am;O
Gimritzer;LOC
Damm;LOC
in;O
Halle;LOC
wird;O
für;O
freiwillige;O
Helfer;O
zu;O
gefährlich;O
Pegel;O
der;O
Saale;LOC
liegt;O
mit;O
Metern;O
weit;O
über;O
den;O
Erwartungen;O
Laut;O
Stadt;O
nur;O
noch;O
Spezialkräfte;O
im;O
Einsatz;O
Wen;O
freiwillige;O
helfer;O
gesucht;O
werden;O
bitte;O
under;O
dieser;O
nr;O
melden;O
danke;O
Meldepunkte;O
für;O
Helfer;O
aus;O
der;O
Bevölkerung;O
Schotterund;O
Kies-Union;O
GmbH;O
Co;O
KG;O
Kieswerk;O
Hirschfeld;LOC
Am;LOC
Ochsenwinkel;LOC
Leipzig-Hirschfeld;LOC
Landestalsperrenverwaltung;O
Sachsen;LOC
Flussmeisterei;O
Leipzig;LOC
Am;LOC
Teilungswehr;LOC
Großzschocher;LOC
Leipzig;LOC
Bitte;O
versuchen;O
Sie;O
nicht;O
dorthin;O
direkt;O
mit;O
dem;O
Auto;O
auf;O
das;O
jeweilige;O
Gelände;O
zu;O
fahren;O
Parken;O
Sie;O
weiträumig;O
außerhalb;O
um;O
die;O
anund;O
abfahrenden;O
LKWs;O
nicht;O
zu;O
behindern;O
Vielen;O
Dank;O
Quelle;O
Freiwillige;O
Helfer;O
In;O
allen;O
Regionen;O
bitte;O
nicht;O
die;O
anrufen;O
um;O
Hilfsangebote;O
abzugeben;O
das;O
blockiert;O
die;O
Notfallzentralen;O
Bitte;O
wendet;O
euch;O
direkt;O
an;O
die;O
Hilfsorganisationen;O
Freiwillige;O
Feuerwehr;O
örtliche;O
Verbände;O
und;O
private;O
Hilfsorganisationen;O
An;O
der;O
Brückenstraße;LOC
in;O
Leipzig;LOC
helfen;O
Hunderte;O
bis;O
tief;O
in;O
die;O
Nacht;O
Spenden;O
von;O
Essen;O
Getränke;O
für;O
die;O
Helfer;O
sind;O
dort;O
gerne;O
gesehen;O
Bitte;O
teilen;O
Meldepunkte;O
für;O
Helfer;O
aus;O
der;O
Bevölkerung;O
in;O
Leipzig;LOC
Liebe;O
Helferinnen;O
und;O
Helfer;O
hier;O
nun;O
wie;O
angekündigt;O
die;O
Anschriften;O
der;O
Befüllplätze;O
für;O
Sandsäcke;O
an;O
denen;O
Ihre;O
Hilfe;O
benötigt;O
wird;O
Schotterund;O
Kies-Union;O
GmbH;O
Co;O
KG;O
Kieswerk;O
Hirschfeld;LOC
Am;LOC
Ochsenwinkel;LOC
Leipzig-Hirschfeld;LOC
Anfahrt;O
mit;O
dem;O
Auto;O
aus;O
Richtung;O
Leipzig;LOC
In;O
Leipzig;LOC
auf;O
die;O
B;O
B;O
in;O
Richtung;O
Chemnitz;LOC
Borna;LOC
fahren;O
An;O
der;O
Autobahnanschlussstelle;O
A;O
auf;O
die;O
A;O
in;O
Richtung;O
Dresden;LOC
fahren;O
Am;O
Autobahndreieck;O
A;O
A;O
auf;O
die;O
A;O
in;O
Richtung;O
Halle;LOC
Magdeburg;LOC
bis;O
zur;O
Abfahrt;O
Kleinpösna;LOC
fahren;O
Nach;O
Verlassen;O
der;O
A;O
rechts;O
in;O
die;O
Hersvelder;LOC
Straße;LOC
einbiegen;O
Nach;O
ca;O
km;O
am;LOC
Ochsenwinkel;LOC
rechts;O
abbiegen;O
Landestalsperrenverwaltung;O
Sachsen;LOC
Flussmeisterei;O
Leipzig;LOC
Am;LOC
Teilungswehr;LOC
Großzschocher;LOC
Leipzig;LOC
Bitte;O
versuchen;O
Sie;O
nicht;O
dorthin;O
direkt;O
mit;O
dem;O
Auto;O
auf;O
das;O
jeweilige;O
Gelände;O
zu;O
fahren;O
Parken;O
Sie;O
weiträumig;O
außerhalb;O
um;O
die;O
anund;O
abfahrenden;O
LKWs;O
nicht;O
zu;O
behindern;O
Vielen;O
Dank;O
Hallo;O
ihr;O
lieben;O
Wer;O
will;O
mit;O
essen;O
kochen;O
für;O
die;O
helfer;O
Wer;O
hat;O
ideen;O
oder;O
lust;O
was;O
mit;O
zu;O
organisieren;O
und;O
anschließend;O
zu;O
verteilen;O
Die;O
helfer;O
sind;O
auch;O
durchgefrohren;O
Am;O
besten;O
wäre;O
ja;O
Eintopf;O
Ich;O
bin;O
in;O
Wurzen;LOC
Wenn;O
noch;O
jemand;O
Hilfe;O
für;O
Sandsäcke;O
Aufräumarbeiten;O
oder;O
andere;O
Maßnahmen;O
benötigt;O
ich;O
bin;O
gern;O
bereit;O
zu;O
helfen;O
Hallo;O
wenn;O
Hilfe;O
gebraucht;O
wird;O
freiwillige;O
Helfer;O
der;O
Feuerwehren;O
Berlin;LOC
und;O
Brandenburg;LOC
stehen;O
in;O
Alarm;O
Bereitschaft;O
egal;O
wo;O
Gruß;O
Raphael;O
Feuerwehr;O
Brandenburg;LOC
Zwickau;LOC
sucht;O
HELFER;O
Gesucht;O
werden;O
Freiwillige;O
die;O
Sandsäcke;O
füllen;O
und;O
an;O
der;O
Mulde;LOC
stapeln;O
Damit;O
soll;O
die;O
Innenstadt;O
gegen;O
Wassermassen;O
aus;O
dem;O
Fluss;O
geschützt;O
werden;O
Helfer;O
sollten;O
Schaufeln;O
mitbringen;O
Treffpunkte;O
sind;O
die;O
Parkplätze;O
am;O
Alten;O
Gasometer;O
und;O
unter;O
der;O
Glück-Brücke;O
Ich;O
könnte;O
als;O
Fahrer;O
ab;O
Uhr;O
zur;O
Verfügung;O
stehen;O
Habe;O
einen;O
kleinen;O
Opel;O
Corsa;O
und;O
komme;O
aus;O
Delitzsch;LOC
Einfach;O
melden;O
antworte;O
schnell;O
Wo;O
kann;O
man;O
mithelfen;O
Sandsäcke;O
zu;O
füllen;O
Kann;O
man;O
irgendwo;O
helfen;O
die;O
Sandsäcke;O
zu;O
füllen;O
Die;O
Feuerwehr;O
Manching;LOC
bittet;O
um;O
Hilfe;O
Freiwillige;O
werden;O
gesucht;O
die;O
Sandsäcke;O
befüllen;O
Hier;O
melden;O
DANKE;O
Die;O
Feuerwehr;O
Manching;LOC
bittet;O
um;O
Hilfe;O
Freiwillige;O
werden;O
gesucht;O
die;O
Sandsäcke;O
befüllen;O
Hier;O
melden;O
DANKE;O
von;O
Benjamin;O
Liss;O
ich;O
kann;O
von;O
schleching;O
aus;O
helfen;O
bin;O
mobil;O
soweit;O
ich;O
fahren;O
kann;O
natürlich;O
ich;O
sitze;O
in;O
unterwössen;O
wenn;O
jemand;O
hilfe;O
braucht;O
Lauterbach;LOC
gmd;O
Rohrdorfer;LOC
gemeinde;O
wer;O
hilfe;O
braucht;O
Von;O
Bergen;LOC
kommt;O
man;O
fast;O
nicht;O
raus;O
aber;O
in;O
Bergen;LOC
würd;O
ich;O
sofort;O
helfen;O
Hab;O
gutes;O
Regen;O
gwand;O
Wird;O
heute;O
irgend;O
welche;O
Hilfe;O
benötigt;O
Bin;O
mobil;O
und;O
von;O
TS;LOC
aus;O
kommt;O
man;O
auch;O
ganz;O
gut;O
weg;O
wer;O
wenn;O
zum;O
sandsäcke;O
füllen;O
braucht;O
oder;O
anders;O
hilfe;O
braucht;O
einfach;O
anschreiben;O
habe;O
gerade;O
eine;O
woche;O
urlaub;O
Ich;O
könnte;O
ja;O
mithelfen;O
bei;O
der;O
Koordination;O
habt;O
ihr;O
schon;O
eine;O
Hotline;O
eingerichtet;O
Alle;O
nach;O
Manching;LOC
kommen;O
hier;O
säuft;O
bald;O
alles;O
ab;O
Brauchen;O
die;O
Helfer;O
eine;O
Brotzeit;O
Wurstsemmeln;O
Komme;O
aus;O
Langenbruck;LOC
Aufräumen;O
Ausräumen;O
Keller;O
auspumpen;O
Sandsäcke;O
füllen;O
Daniel;O
Strauch;O
bietet;O
Hilfe;O
an;O
Danke;O
Daniel;O
Wo;O
soll;O
ich;O
helfen;O
Wir;O
können;O
hier;O
jede;O
helfende;O
Hand;O
nur;O
gerne;O
annehmen;O
Kommt;O
einfach;O
in;O
die;O
Ritterpflugstr;LOC
Ans;O
flutbett;O
Bildzeitung;O
Uhr;O
Noch;O
Helfer;O
in;O
Kleinpösna;LOC
gesucht;O
Obwohl;O
bereits;O
hunderte;O
Menschen;O
am;O
Kieswerk;O
in;O
Kleinpösna;LOC
mit;O
anpacken;O
ist;O
die;O
Situation;O
dort;O
brenzlig;O
Noch;O
immer;O
werden;O
Hilfskräfte;O
benötigt;O
Bei;O
der;O
Tischlerei;O
Harald;O
Hillger;O
in;O
Pfützthal;LOC
werden;O
dringend;O
Sandsäcke;O
benötigt;O
Kann;O
irgendjemand;O
helfen;O
In;O
Raguhn-Jeßnitz;LOC
ist;O
der;O
Stadtteil;O
Jeßnitz;LOC
momentan;O
wieder;O
erreichbar;O
Im;O
Tagesverlauf;O
mussten;O
alle;O
Zufahrtswege;O
zur;O
Vorbeugung;O
gesperrt;O
werden;O
In;O
Altjeßnitz;LOC
ggü;O
Autohaus;O
Fietz;O
und;O
Raguhn;LOC
am;O
Bahnhof;O
wird;O
jede;O
helfende;O
Hand;O
benötigt;O
Die;O
Lage;O
in;O
Altjeßnitz;LOC
ist;O
ernst;O
hier;O
droht;O
ein;O
Deich;O
zu;O
brechen;O
Für;O
die;O
Nacht;O
werden;O
weiter;O
stark;O
steigende;O
Pegelstände;O
erwartet;O
Falls;O
ihr;O
noch;O
Helfer;O
braucht;O
bin;O
ich;O
dabei;O
Wo;O
kann;O
man;O
sich;O
melden;O
zum;O
helfen;O
und;O
wie;O
sieht;O
mit;O
den;O
Arbeitengeber;O
aus;O
Göbitz;LOC
Damm;O
gebrochen;O
Maßnitz;LOC
Göbitz;LOC
Torna;LOC
Könderitz;LOC
Etzoldshain;LOC
Minkwitz;LOC
Traupitz;LOC
sowie;O
Bornitz;LOC
Draschwitz;LOC
Reuden;LOC
Predel;LOC
Ostrau;LOC
und;O
Profen;LOC
werden;O
für;O
Evakuierung;O
vorbereitet;O
Jede;O
Helfende;O
Hand;O
zählt;O
In;O
Zeitz;LOC
in;O
der;O
Besenstrasse;LOC
werden;O
immer;O
Helfer;O
zum;O
Säcke;O
füllen;O
benötigt;O
DAMMBRUCH;O
IN;O
GÖBITZ;LOC
Maßnitz;LOC
Göbitz;LOC
Torna;LOC
Könderitz;LOC
Etzoldshain;LOC
Minkwitz;LOC
Traupitz;LOC
sowie;O
Bornitz;LOC
Draschwitz;LOC
Reuden;LOC
Predel;LOC
Ostrau;LOC
und;O
Profen;LOC
werden;O
für;O
Evakuierung;O
vorbereitet;O
Jede;O
Helfende;O
Hand;O
zählt;O
In;O
Zeitz;LOC
in;O
der;O
Besenstrasse;LOC
we;O
Schloss;O
Goseck;LOC
Ich;O
weiß;O
nicht;O
ob;O
der;O
folgende;O
Hinweis;O
in;O
erster;O
Linie;O
gedacht;O
für;O
die;O
Dörfer;O
rund;O
um;O
Goseck;LOC
vielleicht;O
übertrieben;O
ist;O
Aber;O
man;O
fühlt;O
sich;O
angesichts;O
des;O
Wassers;O
ringsum;O
der;O
Ebene;O
gegenüber;O
so;O
hilflos;O
hier;O
oben;O
auf;O
dem;O
Berg;O
Wenn;O
wir;O
mit;O
auf;O
Schloss;O
Goseck;LOC
irgendwie;O
helfen;O
können;O
dann;O
meldet;O
Euch;O
bitte;O
bei;O
uns;O
Mehr;O
anzeigen;O
Wird;O
irgendwo;O
in;O
Bad;LOC
Dürrenberg;LOC
Hilfe;O
benötigt;O
Darf;O
man;O
in;O
der;O
aktuellen;O
Lage;O
überhaupt;O
vorn;O
mithelfen;O
Ich;O
würde;O
tun;O
was;O
ich;O
kann;O
ANSPANNUNG;O
AN;O
DER;O
ELBE;O
In;O
Magdeburg;LOC
hat;O
die;O
Feuerwehr;O
damit;O
begonnen;O
tausende;O
Sandsäcke;O
zu;O
füllen;O
Helfer;O
werden;O
Gebeten;O
sich;O
bei;O
den;O
FeuerWasserwehren;O
vor;O
Ort;O
zu;O
melden;O
Lage;O
in;O
Zeitz;LOC
Weiße;LOC
Elster;LOC
dramatisch;O
Rund;O
Bürger;O
evakuiert;O
BM;O
Otto;O
bittet;O
um;O
Hilfe;O
und;O
rechnet;O
mit;O
Ausrufung;O
von;O
Katastrophenalarm;O
Helfer;O
bitte;O
die;O
örtlichen;O
Sammelpunkte;O
erfragen;O
und;O
aufsuchen;O
Wäre;O
super;O
wenn;O
Anlaufstellen;O
für;O
freiwillige;O
Helfer;O
in;O
Wittenberg;LOC
